epoch,train_loss,val_loss,val_accuracy,lr,best_train_loss,best_val_loss,best_val_accuracy,save_best_train_loss,save_best_val_loss,save_best_val_accuracy
1,1.8327322363853455,2.0753410339355467,0.125,0.001,1.8327322363853455,2.0753410339355467,0.125,True,True,True
2,1.4735236048698426,2.0786756753921507,0.225,0.001,1.4735236048698426,2.0753410339355467,0.225,True,False,True
3,1.2514593422412872,1.962581729888916,0.3,0.001,1.2514593422412872,1.962581729888916,0.3,True,True,True
4,1.089446210861206,1.525905156135559,0.475,0.001,1.089446210861206,1.525905156135559,0.475,True,True,True
5,0.9336411893367768,1.0672370672225953,0.825,0.001,0.9336411893367768,1.0672370672225953,0.825,True,True,True
6,0.8004292726516724,0.7721324920654297,0.9,0.001,0.8004292726516724,0.7721324920654297,0.9,True,True,True
7,0.7145407915115356,0.6337176322937011,0.95,0.001,0.7145407915115356,0.6337176322937011,0.95,True,True,True
8,0.6561220049858093,0.5353093624114991,0.95,0.001,0.6561220049858093,0.5353093624114991,0.95,True,True,False
9,0.5456753224134445,0.438227117061615,0.975,0.001,0.5456753224134445,0.438227117061615,0.975,True,True,True
10,0.4944605827331543,0.40248939394950867,0.975,0.001,0.4944605827331543,0.40248939394950867,0.975,True,True,False
11,0.4801048517227173,0.338044136762619,0.975,0.001,0.4801048517227173,0.338044136762619,0.975,True,True,False
12,0.41954989433288575,0.2951487243175507,1.0,0.001,0.41954989433288575,0.2951487243175507,1.0,True,True,True
13,0.37369698882102964,0.2797404110431671,1.0,0.001,0.37369698882102964,0.2797404110431671,1.0,True,True,False
14,0.3509324163198471,0.2249777227640152,1.0,0.001,0.3509324163198471,0.2249777227640152,1.0,True,True,False
15,0.31459659785032273,0.21640152037143706,1.0,0.001,0.31459659785032273,0.21640152037143706,1.0,True,True,False
16,0.2743432939052582,0.1875171035528183,0.975,0.001,0.2743432939052582,0.1875171035528183,1.0,True,True,False
17,0.2559181660413742,0.17102082073688507,1.0,0.001,0.2559181660413742,0.17102082073688507,1.0,True,True,False
18,0.2539794608950615,0.1539842575788498,1.0,0.0001,0.2539794608950615,0.1539842575788498,1.0,True,True,False
19,0.2456311523914337,0.12773493230342864,1.0,0.0001,0.2456311523914337,0.12773493230342864,1.0,True,True,False
20,0.22087780386209488,0.12839989960193635,1.0,0.0001,0.22087780386209488,0.12773493230342864,1.0,True,False,False
21,0.2101803496479988,0.11948335766792298,1.0,0.0001,0.2101803496479988,0.11948335766792298,1.0,True,True,False
22,0.1908067435026169,0.11416428834199906,1.0,0.0001,0.1908067435026169,0.11416428834199906,1.0,True,True,False
23,0.19757891744375228,0.11290897876024246,1.0,0.0001,0.1908067435026169,0.11290897876024246,1.0,False,True,False
24,0.19885826855897903,0.11089081764221191,1.0,1e-05,0.1908067435026169,0.11089081764221191,1.0,False,True,False
25,0.17348279058933258,0.10986231863498688,1.0,1e-05,0.17348279058933258,0.10986231863498688,1.0,True,True,False
26,0.1862040214240551,0.10839672684669495,1.0,1e-05,0.17348279058933258,0.10839672684669495,1.0,False,True,False
27,0.18585657626390456,0.10868958085775375,1.0,1e-05,0.17348279058933258,0.10839672684669495,1.0,False,False,False
28,0.16364994645118713,0.10857253074645996,1.0,1e-05,0.16364994645118713,0.10839672684669495,1.0,True,False,False
29,0.18431695252656938,0.10775494873523712,1.0,1e-05,0.16364994645118713,0.10775494873523712,1.0,False,True,False
30,0.19456599801778793,0.10758639276027679,1.0,1.0000000000000002e-06,0.16364994645118713,0.10758639276027679,1.0,False,True,False
31,0.18299508467316628,0.10782176107168198,1.0,1.0000000000000002e-06,0.16364994645118713,0.10758639276027679,1.0,False,False,False
32,0.1780955508351326,0.10863360464572906,1.0,1.0000000000000002e-06,0.16364994645118713,0.10758639276027679,1.0,False,False,False
